"Day","Hr","Temp","KWH"
2014-12-20,11,33.08,69
2014-12-20,12,33.08,69
2014-12-20,13,33.98,69
2014-12-20,14,33.8,69
2014-12-20,15,33.98,68
2014-12-20,16,33.08,67
2014-12-20,17,33.44,67
2014-12-20,18,33.89,67
2014-12-20,19,35.06,27
2014-12-20,20,35.06,27
2014-12-20,21,35.06,26
2014-12-20,22,35.06,26
2014-12-20,23,35.06,25
2014-12-21,0,35.06,28
2014-12-21,1,35.33,28
2014-12-21,2,35.06,27
2014-12-21,3,35.06,27
2014-12-21,4,32,23
2014-12-21,5,32,23
2014-12-21,6,30.92,21
2014-12-21,7,30.02,60
2014-12-21,8,30.02,59
2014-12-21,9,30.11,59
2014-12-21,10,30.92,59
2014-12-21,11,32,60
2014-12-21,12,32,59
2014-12-21,13,33.08,60
2014-12-21,14,33.08,59
2014-12-21,15,33.8,60
2014-12-21,16,33.98,59
2014-12-21,17,33.89,59
2014-12-21,18,33.98,58
2014-12-21,19,33.98,18
2014-12-21,20,33.98,17
2014-12-21,21,33.98,17
2014-12-21,22,33.98,16
2014-12-21,23,33.98,16
2014-12-22,0,33.08,67
2014-12-22,1,33.08,67
2014-12-22,2,33.08,66
2014-12-22,3,33.08,66
2014-12-22,4,33.08,65
2014-12-22,5,33.08,65
2014-12-22,6,33.56,65
2014-12-22,7,33.98,105
2014-12-22,8,35.06,105
2014-12-22,9,37.94,107
2014-12-22,10,39.92,109
2014-12-22,11,42.08,111
2014-12-22,12,44.06,112
2014-12-22,13,43.46,111
2014-12-22,14,42.44,109
2014-12-22,15,41.9,108
2014-12-22,16,41,107
2014-12-22,17,41,107
2014-12-22,18,40.1,105
2014-12-22,19,42.56,67
2014-12-22,20,41,65
2014-12-22,21,42.08,66
2014-12-22,22,42.08,65
2014-12-22,23,42.08,65
2014-12-23,0,42.89,78
2014-12-23,1,42.89,78
2014-12-23,2,42.86,77
2014-12-23,3,42.86,77
2014-12-23,4,43.43,77
2014-12-23,5,42.98,76
2014-12-23,6,42.845,75
2014-12-23,7,44.06,116
2014-12-23,8,44.06,115
2014-12-23,9,44.96,116
2014-12-23,10,44.06,114
2014-12-23,11,44.96,115
2014-12-23,12,44.96,114
2014-12-23,13,44.72,114
2014-12-23,14,44.96,113
2014-12-23,15,44.96,113
2014-12-23,16,45.68,113
2014-12-23,17,46.04,113
2014-12-23,18,46.04,112
2014-12-23,19,46.04,72
2014-12-23,20,46.04,72
2014-12-23,21,42.98,68
2014-12-23,22,42.98,67
2014-12-23,23,42.08,66
2014-12-24,0,42.08,79
2014-12-24,1,42.08,78
2014-12-24,2,42.08,78
2014-12-24,3,42.08,77
2014-12-24,4,41,76
2014-12-24,5,41,75
2014-12-24,6,41,75
2014-12-24,7,42.08,115
2014-12-24,8,42.08,115
2014-12-24,9,42.98,115
2014-12-24,10,44.96,117
2014-12-24,11,44.96,116
2014-12-24,12,44.96,116
2014-12-24,13,44.96,115
2014-12-24,14,44.96,115
2014-12-24,15,44.96,114
2014-12-24,16,46.04,115
2014-12-24,17,44.78,113
2014-12-24,18,46.22,114
2014-12-24,19,46.04,73
2014-12-24,20,44.78,72
2014-12-24,21,44.78,71
2014-12-24,22,46.04,72
2014-12-24,23,44.96,70
2014-12-25,0,44.78,83
2014-12-25,1,44.72,82
2014-12-25,2,46.94,84
2014-12-25,3,57.92,94
2014-12-25,4,58.46,95
2014-12-25,5,57.56,93
2014-12-25,6,57.56,93
2014-12-25,7,55.67,130
2014-12-25,8,57.02,131
2014-12-25,9,53.96,127
2014-12-25,10,51.98,125
2014-12-25,11,50,122
2014-12-25,12,51.08,123
2014-12-25,13,51.08,123
2014-12-25,14,50,121
2014-12-25,15,48.02,119
2014-12-25,16,46.94,117
2014-12-25,17,46.94,116
2014-12-25,18,46.94,116
2014-12-25,19,46.04,75
2014-12-25,20,46.04,74
2014-12-25,21,44.96,73
2014-12-25,22,44.96,72
2014-12-25,23,44.06,71
2014-12-26,0,42.98,82
2014-12-26,1,42.08,81
2014-12-26,2,42.08,81
2014-12-26,3,39.92,78
2014-12-26,4,41,78
2014-12-26,5,37.94,75
2014-12-26,6,37.94,74
2014-12-26,7,39.02,115
2014-12-26,8,42.98,118
2014-12-26,9,44.96,120
2014-12-26,10,46.04,120
2014-12-26,11,46.94,121
2014-12-26,12,48.02,121
2014-12-26,13,48.92,122
2014-12-26,14,48.92,121
2014-12-26,15,48.02,120
2014-12-26,16,48.02,119
2014-12-26,17,46.04,117
2014-12-26,18,44.96,115
2014-12-26,19,44.06,74
2014-12-26,20,42.98,72
2014-12-26,21,42.98,72
2014-12-26,22,42.08,71
2014-12-26,23,41,69
2014-12-27,0,39.92,41
2014-12-27,1,39.92,41
2014-12-27,2,41,41
2014-12-27,3,41,41
2014-12-27,4,39.92,39
2014-12-27,5,41,40
2014-12-27,6,39.92,38
2014-12-27,7,41,79
2014-12-27,8,42.98,80
2014-12-27,9,44.96,82
2014-12-27,10,48.02,84
2014-12-27,11,50,86
2014-12-27,12,51.98,87
2014-12-27,13,51.8,86
2014-12-27,14,51.98,86
2014-12-27,15,50,84
2014-12-27,16,48.02,81
2014-12-27,17,46.94,80
2014-12-27,18,46.04,78
2014-12-27,19,44.96,37
2014-12-27,20,44.06,35
2014-12-27,21,42.98,34
2014-12-27,22,44.06,34
2014-12-27,23,42.98,33
2014-12-28,0,44.96,38
2014-12-28,1,44.96,37
